# name	source	pi_core	agents_visible	locked
# all-zero rows (0 0 0) are the opt-in shelf: catalog-tracked but not
# deployed to any surface; invoke manually or promote flags before deploying.
# Vendor rows honour pi_core: a vendor skill links to the Pi surface only
# when pi_core=1; Claude and Codex stay scope-governed (workflow decision
# 3/4/5). Provenance: rows with source mattpocock (Matt Pocock) are the
# vendored shared suite — cataloged as engineering/<name> but deployed by
# their frontmatter names (e.g. `research`, `ask-matt`). Suite map and
# collision rules: docs/vendor-skills.md.
plan-loop	pi	1	1	1
plan-implement	pi	1	1	1
adversary	pi	1	1	1
review	pi	1	1	1
implement	pi	1	1	1
verify	pi	1	1	1
bug-check	pi	1	1	1
linear-project-setup	pi	0	0	1
linear-ticket-create	pi	1	1	1
linear-work	pi	1	1	1
pr-review	pi	1	1	1
pr-qa	pi	1	1	1
sec-pr	pi	1	1	1
ci-fix	pi	1	1	1
github-pr-review	pi	0	0	1
suite-router	pi	0	0	0
caveman	pi	0	0	0
grill-me	pi	1	1	1
project-hunt	pi	1	1	1
browser-full-page-capture	pi	0	0	1
frontend-motion-performance	pi	0	0	1
frontend-css-ui-ux	pi	0	0	1
css-layout-primitives	pi	0	0	1
css-only-components	pi	0	0	1
css-debugging	pi	0	0	1
goal-prompt-rewriter	pi	0	0	1
conversation-retrospect	pi	0	0	1
recurring-run	pi	0	0	1
runtime-skill-canary	pi	0	1	1
session-handoff	pi	0	0	1
ui-reference-capture	pi	0	0	1
maintainer-orchestrator	pi	0	0	0
react-doctor-100	pi	0	0	1
show-me	pi	0	0	1
design-suite	pi	0	0	0
code-quality	pi	1	0	0
add-dark-mode	pi	0	0	0
brand-kit	pi	0	0	0
canonicalize-tailwind	pi	0	0	0
componentize	pi	0	0	0
dark-mode-image	pi	0	0	0
design	pi	0	0	0
ideas	pi	0	0	0
make-responsive	pi	0	0	0
markup-from-image	pi	0	0	0
coolify	pi	1	1	1
ember-forestadmin-architecture	ember-skills	0	0	1
ember-forestadmin-components	ember-skills	0	0	1
ember-forestadmin-data	ember-skills	0	0	1
ember-forestadmin-debug	ember-skills	0	0	1
ember-forestadmin-lint-style	ember-skills	0	0	1
ember-forestadmin-migration	ember-skills	0	0	1
ember-forestadmin-react-mfe	ember-skills	0	0	1
ember-forestadmin-routes	ember-skills	0	0	1
ember-forestadmin-services-state	ember-skills	0	0	1
ember-forestadmin-suite	ember-skills	0	0	1
ember-forestadmin-testing	ember-skills	0	0	1
ember-forestadmin-workflow-visualizer	ember-skills	0	0	1
ember-standalone-workflow-package	ember-skills	0	0	1
adonisjs-architecture	adonisjs-skills	0	0	1
adonisjs-backend	adonisjs-skills	0	0	1
adonisjs-review	adonisjs-skills	0	0	1
adonisjs-suite	adonisjs-skills	1	0	1
adonisjs-testing	adonisjs-skills	0	0	1
adonisjs-tuyau	adonisjs-skills	0	0	1
thermo-nuclear-code-quality-review	pi	1	1	1
engineering/ask-matt	mattpocock	0	0	1
engineering/codebase-design	mattpocock	0	0	1
engineering/diagnosing-bugs	mattpocock	0	0	1
engineering/domain-modeling	mattpocock	0	0	1
engineering/grill-with-docs	mattpocock	0	0	1
engineering/improve-codebase-architecture	mattpocock	0	0	1
engineering/prototype	mattpocock	0	0	1
engineering/research	mattpocock	0	0	1
engineering/resolving-merge-conflicts	mattpocock	0	0	1
engineering/to-spec	mattpocock	0	0	1
engineering/to-tickets	mattpocock	0	0	1
engineering/triage	mattpocock	0	0	1
engineering/wayfinder	mattpocock	0	0	1
engineering/wizard	mattpocock	0	0	1
